S.No,Influencer / Channel Name,Market,Targeted Film Genre,
1,Siddharth Kannan,Pan South,Mass Action / Commercial / Mega-Stars,
2,Suma Kanakala,Telugu,Family Commercial / Mass Jathara / Comedy,
3,Baradwaj Rangan,Telugu,Art House / Classic Cinema / Critical Analysis,
4,Harsha Sai,Telugu,Social Drama / Action / Stunt-Based Commercial,
5,Prashu Baby,Telugu,Commercial Comedy / Relatable Skits,
6,Filmymoji,Telugu,Family Commercial / Animated Satire,
7,ThrillR by Ragesh,Tamil / Mal.,Horror / Supernatural / Psychological Thriller,
8,Surya (Tell Stories),Telugu,Horror / Paranormal / Mystery,"Focuses on mystery, paranormal stories, and horror discussions."
9,Psycho Film Pirate,Pan-South,Horror / Fantasy / Blockbuster,"In-depth analysis of ""bone-chilling"" horror and blockbuster franchises."
10,RGV Official,Telugu,Horror / Psychological / Raw Indie,Provides raw insights into horror filmmaking psychology and industry authority.
11,Anil Panguluri,Telugu,Suspense Thriller / Niche Mystery,Specialized interviewer who focuses exclusively on the thriller niche.
12,Baradwaj Rangan,Tamil / Telugu,Intellectual / Indie / Art House,Essential for high-intent cinephiles and serious content-driven films.
13,Madan Gowri,Tamil,Intellectual / Social / Explanatory,"Explanatory videos on cultural/social issues with a highly loyal ""MG Squad."""
14,Harija,Tamil,Content-Driven / Realistic / Social,"Focuses on simplicity and authenticity; ideal for ""social message"" films."
15,Maya S Krishnan,Tamil,Arthouse / Experimental / Female-Centric,"Creative boldness with a raw, minimalistic style for indie projects."
16,Humans of Cinema,Pan-South,Intellectual / Drama / Social Change,Focuses on cinema's impact on mental health and social change.
17,Johny Lucos,Malayalam,Intellectual Drama / Candid Indie / Character Study,
18,Telugu Geeks,Telugu,Sci-Fi / Philosophical / High-Concept Tech,
19,Telchi Anime,Telugu,Anime / Fantasy / Sci-Fi Narrative,
20,Prasad Tech in Telugu,Telugu,Futuristic / High-Tech / Gadget-Centric Action,
21,Gouri G Kishan,Tamil,Poetic Romance / Travel / Emotional Drama,
22,Niharika NM,Pan-South,Rom-Com / Global Lifestyle / Viral Satire,
23,Tej India,Telugu,Youth Drama / Episodic Web-Series / Coming-of-Age,
24,iDream Media,Telugu,Industry Deep-Dives / Filmmaker Profiles,
25,SumanTV (Journalist Prabhu),Telugu,Legacy Cinema / Industry Biographies / Nostalgia,
S.No,Influencer / Channel Name,Market,Updated Targeted Film Genre,
