Movie Name,Release Date,Buzz
Sampradayini Suppini Suddapoosani,2026-03-06,69
Sambhavam Adhyayam Onnu,2026-03-06,49
Shesha 2016,2026-03-06,71
Gopichand 33,2026-03-13,76
Nagabandham,2026-03-14,48
Jai Hanuman,2026-03-18,68
Toxic: A Fairy Tale for Grown-ups,2026-03-19,66
Dacoit,2026-03-19,40
Karuppu,2026-03-19,55
Aadu 3,2026-03-19,68
Vrushakarma,2026-03-20,45
Benz,2026-03-20,48
Ustaad Bhagat Singh,2026-03-26,66
Drishyam 3,2026-04-02,82
Nadaprabhu Kempegowda,2026-04-08,46
Pallichattambi,2026-04-09,49
Swayambhu,2026-04-10,57
NBK 111,2026-04-14,69
Vishwambhara,2026-04-14,50
Chiyaan 63,2026-04-14,76
Patriot,2026-04-23,43
Peddi,2026-04-30,51
Jana Nayagan,2026-05-01,60
G2 (Goodachari 2),2026-05-01,64
Kattalan,2026-05-14,43
Paraak,2026-05-15,40
David Reddy,2026-05-15,56
Dhruva Natchathiram,2026-05-24,50
Thug Life,2026-06-05,55
Jailer 2,2026-06-12,85
Vala,2026-06-13,35
NTR 31 (Dragon),2026-06-25,72
Ajagajantharam 2,2026-07-29,64
Lahore 1947,2026-08-13,63
I'm Game,2026-08-20,55
The Paradise,2026-08-21,64
Ranabaali,2026-09-11,40
Irumudi,2026-09-14,50
Khalifa,2026-09-25,51
Ramayana: Part One,2026-11-03,83
Bell Bottom 2,2026-11-05,66
Sardar 2,2026-11-30,65
Love & War,2026-12-20,82
King 101,2027-01-15,80
Thalaivar 173,2027-01-16,67
The Pride of Bharat: Shivaji,2027-01-21,52
Spirit,2027-03-05,69
Varanasi,2027-04-07,52
