Event_Type,Event_Name,Region,Start_Date,End_Date,Urban_Youth_Impact,College_Impact,Family_Impact,Mass_Rural_Impact,OTT_Impact,Diaspora_Impact

BOARD_EXAM,CBSE 10th,National,2026-03-02,2026-03-26,-40,-80,-10,0,0,0
BOARD_EXAM,CBSE 12th,National,2026-03-01,2026-04-04,-45,-85,-10,0,0,0
BOARD_EXAM,ICSE 10th,National,2026-02-25,2026-03-27,-30,-70,-5,0,0,0
BOARD_EXAM,ISC 12th,National,2026-02-20,2026-04-01,-35,-75,-5,0,0,0
BOARD_EXAM,Telangana SSC,Telangana,2026-03-18,2026-04-05,-30,-80,-5,0,0,0
BOARD_EXAM,AP SSC,Andhra Pradesh,2026-03-17,2026-04-04,-30,-80,-5,0,0,0
BOARD_EXAM,Karnataka SSLC,Karnataka,2026-03-20,2026-04-03,-25,-75,-5,0,0,0
BOARD_EXAM,TN 12th,Tamil Nadu,2026-03-03,2026-03-25,-30,-75,-5,0,0,0
BOARD_EXAM,Maharashtra HSC,Maharashtra,2026-02-21,2026-03-19,-30,-70,-5,0,0,0
BOARD_EXAM,Bihar Board,Bihar,2026-02-15,2026-02-28,-35,-85,-5,0,0,0

ENTRANCE_EXAM,JEE Main,National,2026-01-20,2026-02-01,-40,-60,0,0,0,0
ENTRANCE_EXAM,JEE Advanced,National,2026-05-18,2026-05-25,-50,-70,0,0,0,0
ENTRANCE_EXAM,NEET,National,2026-05-03,2026-05-10,-45,-75,0,0,0,0
ENTRANCE_EXAM,CUET UG,National,2026-05-15,2026-05-31,-40,-70,0,0,0,0
ENTRANCE_EXAM,CAT,National,2026-11-20,2026-11-25,-30,-40,0,0,0,0
ENTRANCE_EXAM,GATE,National,2026-02-05,2026-02-15,-20,-35,0,0,0,0
ENTRANCE_EXAM,UPSC Prelims,National,2026-06-01,2026-06-10,-20,-30,0,0,0,0
ENTRANCE_EXAM,EAMCET,Telangana/AP,2026-05-07,2026-05-15,-35,-60,0,0,0,0
UNIVERSITY_EXAM,Semester Summer,National,2026-05-01,2026-05-30,-50,-80,0,0,0,0
UNIVERSITY_EXAM,Semester Winter,National,2026-11-10,2026-11-30,-40,-60,0,0,0,0
ENTRANCE_EXAM,CA Final,National,2026-05-01,2026-05-20,-25,-50,0,0,0,0
UNIVERSITY_EXAM,Karnataka CET,Karnataka,2026-04-12,2026-04-20,-30,-55,0,0,0,0

SPORTS,IPL Season,National,2026-03-22,2026-05-26,-40,-35,0,0,0,0
SPORTS,IPL Playoffs,National,2026-05-18,2026-05-26,-60,-50,0,0,0,0
SPORTS,IPL Final,National,2026-05-26,2026-05-26,-80,-70,0,0,0,0

FESTIVAL,Sankranti,National,2026-01-14,2026-01-14,15,0,35,40,0,0
FESTIVAL,Holi,National,2026-03-04,2026-03-04,20,0,15,10,0,0
FESTIVAL,Eid,National,2026-03-21,2026-03-21,15,0,25,15,0,10
FESTIVAL,Ugadi,South India,2026-03-18,2026-03-18,10,0,30,20,0,0
FESTIVAL,Independence Day,National,2026-08-15,2026-08-15,30,0,35,25,0,5
FESTIVAL,Dussehra,National,2026-10-22,2026-10-22,25,0,40,35,0,5
FESTIVAL,Diwali,National,2026-11-09,2026-11-09,35,0,60,45,0,15
FESTIVAL,Christmas,National,2026-12-25,2026-12-25,30,0,35,10,0,20
FESTIVAL,New Year,National,2026-12-31,2026-12-31,45,0,20,10,0,25

SCHOOL_VACATION,North Summer Vacation,North India,2026-05-15,2026-06-30,10,10,50,10,0,0
SCHOOL_VACATION,South Summer Vacation,South India,2026-04-10,2026-05-30,10,10,45,10,0,0
SCHOOL_VACATION,Winter Break,National,2026-12-20,2027-01-05,15,15,35,5,0,10
SCHOOL_VACATION,Dussehra Break,National,2026-10-20,2026-10-30,10,10,30,10,0,0

HARVEST,Rabi Harvest,Punjab/Haryana,2026-04-01,2026-04-30,0,0,10,30,0,0
HARVEST,Kharif Harvest,Telangana/AP,2026-10-01,2026-10-30,0,0,10,35,0,0
RURAL_FAIR,Village Jatara,Various States,2026-02-01,2026-03-31,0,0,0,-10,0,0

CORPORATE_BUSY,Financial Year Closing,National,2026-03-01,2026-03-31,-10,-10,0,0,-25,0
