S.No,Influencer / Channel Name,Primary Market,Targeted Film Genre,Key Strength / Rationale,Reach / Engagement Metrics
1,Siddharth Kannan,Pan South,Mass Action | Commercial,"His signature ""mind-blowing energy"" and trend-setting style have made his channel a mandatory stop for A-list stars.","Approximately 1.77M to 1.8M.

YouTube Views: Over 300 million total views; monthly views average around 2.2M."
2,Suma kanakala,Telugu,Mass Action | Commercial,"Her high-energy, comedic style is the industry standard for pre-release events and ""Mass Jathara"" style interactions.","Her dedicated entertainment channel, Daily Culture, has over 1M subscribers."
3,Baradwaj Rangan,Telugu,Mass Action | Commercial,A National Award-winning film critic and author of highly regarded books like Conversations with Mani Ratnam.,"Galatta Plus Performance: High-profile content like the ""Anchors Round Table"" reaches 500K+ views, while major movie reviews typically earn 180K+ views.
X (Twitter) Followers: 139K."
4,Harsha Sai,Telugu,Action | Commercial,Blends entertainment with philanthropic stunts; viral national-level attention.,10.9M YouTube Subs
5,Prashu Baby,Telugu,Commercial Comedy,"Leads regional list with punchy, relatable comedy sketches and high shareability.",11.4M YouTube Subs
6,Filmymoji,Telugu,Family Commercial,"Crowd-pleasing, broadly accessible animated and live-action regional humor.",5.3M YouTube Subs
7,ThrillR by Ragesh,Tamil / Malayalam,Horror | Thriller,Specialized genre authority; identified as a top reviewer for investigating thrillers.,65.9K YouTube Subs
8,Surya (Tell Stories),Telugu,Horror | Paranormal,"Prominent narrator focused on mystery, paranormal stories, and horror discussions.",83K Views per niche video
9,Psycho Film Pirate,Pan-South,Horror | Fantasy,"In-depth analysis of ""bone-chilling"" horror and blockbuster franchises (e.g., Stephen King adaptations).",Genre cinephile audience
10,RGV Official,Telugu,Horror | Psychological,Filmmaker Ram Gopal Varma provides raw insights into horror filmmaking psychology.,High industry authority
11,Anil Panguluri,Telugu,Suspense Thriller,Director and specialized interviewer who focuses exclusively on the thriller niche.,Niche genre conversion
12,Baradwaj Rangan,Tamil / Telugu,Intellectual | Indie,Premier film critic; essential for high-intent cinephiles and serious content-driven films.,Top-tier critical trust
13,Madan Gowri,Tamil,Intellectual | Social,"Explanatory videos on cultural/social issues; ""MG Squad"" is highly loyal.",5.42M YouTube Subs
14,Harija,Tamil,Content-Driven | Realistic,"Acting coach focusing on simplicity and authenticity; ideal for ""social message"" films.",1.5M Instagram Followers
15,Maya S Krishnan,Tamil,Arthouse | Experimental,"Creative boldness with a raw, minimalistic style; perfect for female-centric or indie projects.",790K Instagram Followers
16,Humans of Cinema,Pan-South,Intellectual | Drama,Focuses on cinema's impact on mental health and social change rather than just reviews.,High-intent niche audience
17,Johny Lucos (Nere Chowe),Malayalam / South,Intellectual | Candid,"Famous for ""savage"" interviews that reveal the authentic side of celebrities.",1M+ views on top interviews
18,Telugu Geeks,Telugu,Sci-Fi | High-Tech,"Science, psychology, and philosophy content that resonates with tech-savvy audiences.",1.83M YouTube Subs
19,Telchi Anime,Telugu,Sci-Fi | Anime,"Dedicated Telugu hub for anime history, movie explanations, and tech-fantasy updates.",Niche genre engagement
20,Prasad Tech in Telugu,Telugu,Sci-Fi | Tech,Leading tech channel; crucial for films featuring futuristic gadgets or high-tech plots.,4.73M YouTube Subs
21,Gouri G Kishan,Tamil,Romance | Drama,"Blends poetry, traditional wear, and travel; connects emotionally with followers.",1.3M Instagram Followers
22,Niharika NM,Pan-South / Global,Romance | Rom-Com,Relatable Reels and global appeal; frequently collaborates with major stars and Netflix.,Top viral engagement
23,Tej India,Telugu,Youth Drama | Series,Storytelling-first channel with episodic web-series content that builds deep watch-time.,5.56M YouTube Subs
24,iDream Media,Telugu,Industry Interviewer,Premier destination for exclusive celebrity deep-dives and full-length filmmaker interviews.,High industry recall
25,SumanTV (Journalist Prabhu),Telugu,Industry Interviewer,"Focuses on candid ""Tollywood Legends"" conversations and behind-the-scenes industry truths.",Established legacy reach
26,Anchor Roshan (SumanTV),Telugu,Commercial / Mass. ,Specialized in emotional star narratives and high-profile producer interviews.,CEO of Suman TV; top interviews reach 112K+ views.
27,Shanmukh Jaswanth,Telugu,Youth Drama / Comedy., Strong youth connect through web series and actor vlogs.,4.86M YouTube subscribers; 2.7M Instagram followers with 6.96% engagement.
28,Deepthi Sunaina,Telugu,Youth / Lifestyle., Ranked as the most influential Telugu digital creator of 2025.,4.2M Instagram followers with a 4.19% engagement rate.
29,Alekhya Harika (Dethadi),Telugu,Youth Comedy. ,High-energy comedic sketches with significant brand collaboration power.,1.1M+ YouTube reach; known for high repeat viewership.
30,Viva Harsha (Viswa Sai),Telugu,Comedy / Sketch. ,Leading trend-setter for new-age digital comedy sketches in 2025.,Leading trend-setter for new-age digital comedy sketches in 2025.
31,Praneeth Hanumanthu,Telugu,Family Comedy. ,Focuses on relatable middle-class humor and family-centric content.,A pioneer of Telugu digital comedy; high relevance for viral skits.
32,Madan Gowri,Tamil,Intellectual / Awareness. ,"Produces explanatory content in Tamil; commands the loyal ""MG Squad.""",5.42M YouTube subscribers; highly trusted for socially conscious film themes.
33,Sivaangi Krishnakumar,Tamil,Entertainment / Music.," Mega influencer known for ""Cooku with Comali"" and youth appeal.",5.84M Instagram followers; top choice for musical or fun family entertainers.
34,Mehboob Dilse,Telugu,Dance / Commercial.," High-energy dancer and Bigg Boss alum; ideal for mass ""song release"" hype.",1.1M Instagram followers with a 3.74% engagement rate.
35,Ariyana Glory,Telugu,Entertainment / Celebrity., TV presenter and actress with a growing base for candid star interviews.,1.1M Instagram followers; focuses on humor and lifestyle content.
36,Rashmi Gautam,Telugu,Commercial / Mass., Dominant face of regional TV (Jabardasth) and active digital presence.,5M Instagram followers; high visibility for pre-release event promotions.
