,,,
Attribute,Netflix India,Amazon Prime Video India,JioHotstar (Merged Entity)
Deal Types Supported,Fixed Buyout; Co-production (Hybrid); Commissioning,Fixed Buyout; MG plus Revenue Share; TVOD,Fixed Buyout; Sports Rights Licensing; Hybrid Ad-supported
Fixed Buyout Range (Tentpole),INR 50 crore – INR 100 crore+,"INR 80 crore – INR 350 crore (e.g., RRR)",INR 50 crore – INR 100 crore (Non-sports)
Minimum Guarantee (MG) Range,Negotiated per project (High for Originals),Variable based on theatrical success,Significant for marquee sports/specials
Revenue Share Range,Performance-linked bonuses,30% to 50% for Store/TVOD,Standard revenue splits for third-party libraries
Payment Timing,"Milestone-based (Signing, Principal, Delivery)",Milestone-based; Quarterly settlements for rev-share,Upfront for rights; Milestone-based for originals
Contract Duration (Years),3 – 10 (Longer for Global Originals),3 – 7 (Licensed); Perpetual (Originals),1 – 5 (Sports/Licensed); Long-term (Originals)
Territory Scope,Global (Originals); India (Licensed),India; Global (via Amazon stores),India-centric; Specific APAC/Diaspora reach
Exclusivity Required,Mandatory for Originals/Direct-to-Digital,Mandatory for Originals; Semi-exclusive for some,Mandatory for Marquee content/Sports
Marketing Support,"Banner, Algorithmic boost, Email push, Social PR","Homepage feature, Algorithmic boost, Prime email","Banner, Push notifications, Live sports integration"
Monthly Active Users (MAU),Approx. 100 million (Targeting Premium),Approx. 150 million (Flywheel integration),Approx. 500 million (Cumulative reach)
Avg. Watch Hours/User,3.2 hours per day,Approx. 2.5 - 3 hours per day,High during events (IPL 4-6 hours)
Regional Strength,Strong Urban/Tier 1; Emerging Tier 2,Strong Tier 1 & 2; Broad language palette,Strong Mass appeal; Rural; Tier 2 & 3
Genre Preference Score,Thriller: 0.9; Romcom: 0.6; Global Hits: 0.8,Action/Thriller: 0.9; Drama: 0.7; Regional: 0.8,Sports: 0.95; Reality: 0.8; Regional Drama: 0.85
Past Performance (Views),Do Patti: 15.1 million,Mirzapur S3: 30.8 million,Special Ops S2: 29.6 million
IPL/Event Association,WWE (Starting 2025),Live TV channel collaborations,IPL Exclusive Rights (Key churn buffer)
Churn Rate (Monthly),2.1% (Best in Industry),3.5% - 4.1%,5.5% - 10% (Seasonal/Event driven)
