Distributor ID,Distributor Name,Industry,Headquarters City,Coverage Area,Founded Year,Market Reach Score (%),Network Strength Score (%),Reliability Score (%),Growth Rate Score (%),Market Share Estimate (%),Success Rate (%),Pros,Cons,Overall Performance Score (%),Website,Contact Email,Data Confidence Score (%),Notes
IND-DIST-1001,Reliance Entertainment,Film,Mumbai,National,2008,96,86,88,71,11.21,86,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",86.65,www.relianceentertainment.in,contact@relianceentertainment.com,89,Key player in current market analysis.
IND-DIST-1002,Pen Studios,Film,Lucknow,National,1987,91,82,86,92,14.77,94,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",88.35,www.penstudios.in,contact@penstudios.com,89,Key player in current market analysis.
IND-DIST-1003,AA Films,Film,Delhi,Regional,1977,99,96,90,71,8.93,77,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",88.95,www.aafilms.in,contact@aafilms.com,94,Key player in current market analysis.
IND-DIST-1004,Yash Raj Films Distribution,Film,Hyderabad,National,1977,89,73,79,92,3.75,80,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.1,www.yashrajfilmsdistribution.in,contact@yashrajfilmsdistribution.com,88,Key player in current market analysis.
IND-DIST-1005,Eros International,Film,Mumbai,Regional,1976,94,95,85,71,4.54,84,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",87.5,www.erosinternational.in,contact@erosinternational.com,88,Key player in current market analysis.
IND-DIST-1006,Dharma Productions,Film,Pune,National,1971,98,92,77,81,6.08,94,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",89.15,www.dharmaproductions.in,contact@dharmaproductions.com,87,Key player in current market analysis.
IND-DIST-1007,Zee Studios,Film,Kolkata,National,2015,78,84,83,68,2.4,83,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",79.75,www.zeestudios.in,contact@zeestudios.com,97,Key player in current market analysis.
IND-DIST-1008,E4 Entertainment,Film,Pune,Regional,1980,81,77,91,78,4.56,84,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",82.0,www.e4entertainment.in,contact@e4entertainment.com,94,Key player in current market analysis.
IND-DIST-1009,Sri Venkateswara Creations,Film,Hyderabad,National,1986,97,87,75,79,2.57,71,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",83.5,www.srivenkateswaracreations.in,contact@srivenkateswaracreations.com,94,Key player in current market analysis.
IND-DIST-1010,Hombale Films,Film,Gurugram,National,1986,80,83,89,89,9.76,89,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",85.25,www.hombalefilms.in,contact@hombalefilms.com,94,Key player in current market analysis.
IND-DIST-1011,Geetha Arts,Film,Hyderabad,International,1971,83,78,91,79,12.67,71,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",80.95,www.geethaarts.in,contact@geethaarts.com,93,Key player in current market analysis.
IND-DIST-1012,Suresh Productions,Film,Noida,National,1979,96,83,91,89,11.33,85,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",89.05,www.sureshproductions.in,contact@sureshproductions.com,91,Key player in current market analysis.
IND-DIST-1013,Mythri Movie Makers,Film,Chennai,Regional,2006,70,73,96,65,8.74,81,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",76.85,www.mythrimoviemakers.in,contact@mythrimoviemakers.com,92,Key player in current market analysis.
IND-DIST-1014,Studio Green,Film,Lucknow,National,2014,96,98,92,93,11.05,84,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",93.45,www.studiogreen.in,contact@studiogreen.com,90,Key player in current market analysis.
IND-DIST-1015,SVP Pictures,Film,Kolkata,International,1983,76,85,75,72,14.41,78,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",77.75,www.svppictures.in,contact@svppictures.com,88,Key player in current market analysis.
IND-DIST-1016,Red Giant Movies,Film,Hyderabad,Regional,2002,87,84,75,86,3.52,90,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",84.15,www.redgiantmovies.in,contact@redgiantmovies.com,89,Key player in current market analysis.
IND-DIST-1017,Ayngaran International,Film,Bengaluru,National,1994,88,81,97,86,4.88,87,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",87.6,www.ayngaraninternational.in,contact@ayngaraninternational.com,93,Key player in current market analysis.
IND-DIST-1018,Fox Star Studios (Disney Star),Film,Chennai,National,1981,81,99,97,94,1.99,87,"• Strong regional network
• Efficient supply chain
• High digital adoption","• High operational costs
• Strict credit terms
• Regional dependency",91.55,www.foxstarstudios(disneystar).in,contact@foxstarstudios(disneystar).com,90,Key player in current market analysis.
